Title,Company,Experience,Location,Tags,Ratings,Reviews,Salary,Job_Type,Posted
Machine Learning Engineer,Headsup Corporation Pvt. Ltd.,2-4 Yrs,Hyderabad/Secunderabad,"Software Engineering
Machine Learning
Deep Learning
Java
C++
NLP
C
Algorithm Design",,,"25,00,000 - 30,00,000 PA.",PREMIUM,30+ DAYS AGO
Data Scientist with Machine Learning Job,Adecco India Private Limited,5-10 Yrs,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Machine Learning
big data
R Analytics
statistical analysis
Hadoop
Python
IT Skills
Data Science",,,"11,00,000 - 20,00,000 PA.",PREMIUM,30+ DAYS AGO
Machine Learning Engineer,Hubino Technologies Pvt Ltd,2-5 Yrs,Chennai,"IT Skills
Machine Learning
Computer vision
algorithms
Image processing
technical
functions
quality operations",,,Not disclosed,,30+ DAYS AGO
Machine Learning Engineer - Hadoop/Kafka,Jobonymous Enterprises,5-7 Yrs,India,"Hive
Scikit
MXNet
Amazon Web Service
Tensorflow
Caffe2
Kafka
MLTracking",,,Not disclosed,HOT JOB,22 DAYS AGO
Machine Learning Engineer,Peopleplus Professional Services Pvt. Ltd.,4-8 Yrs,Bangalore/Bengaluru,"Computer science
Computer vision
Software design
Data modeling
Debugging
Machine learning
Agile
Data processing",,,Not disclosed,,30+ DAYS AGO
Machine Learning Scientist,CAREER MAKERS,5-10 Yrs,Bangalore/Bengaluru,"C++
Data modeling
Machine learning
Perl
Predictive modeling
Presentation skills
Data mining
MATLAB",,,Not disclosed,,30+ DAYS AGO
Sr machine learning engineer,FACTSET SYSTEMS INDIA PVT LTD,3-6 Yrs,Hyderabad,"Unix
Computer science
Linux
Stock exchange
Machine learning
Linguistics
Data structures
Data mining",4.0,(603 Reviews),Not disclosed,,30+ DAYS AGO
"Senior Machine Learning Engineer, Search & Match",Sense Talent Labs,5-10 Yrs,Bengaluru,"deep learning
Automation
Data analysis
Backend
Artificial Intelligence
Machine learning
Data processing
Natural language processing",,,Not disclosed,,30+ DAYS AGO
Machine Learning Expert,BRANE ENTERPRISES PRIVATE LIMITED,3-8 Yrs,Hyderabad,"IT Skills
Python
Data Science
Analytical skills
Computer vision
deep learning
Prototype
PDF",3.0,(6 Reviews),Not disclosed,,30+ DAYS AGO
Machine Learning Engineer,NexStem,2-5 Yrs,"Gurgaon, Gurugram, Haryana","Intern
EEG
Machine learning
Cloud
Manager Technology
Room
AWS
Monitoring",,,Not disclosed,,30+ DAYS AGO
Data Analyst - Machine Learning/Python,Finxera,2-4 Yrs,Chandigarh,"IT Skills
Tableau
Business Intelligence
Data Visualization
Data Analyst
Data Warehousing
Machine Learning
Python",3.8,(12 Reviews),Not disclosed,PREMIUM,14 DAYS AGO
Machine Learning Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Pune,"Python
Analytics
Data Science
Communication
presentation
Predictive Modeling
predictive analytics
Analytical",4.0,(18767 Reviews),Not disclosed,PREFERRED,14 DAYS AGO
Vice President - Machine Learning,ExecBoardinAsia,11-15 Yrs,Bangalore/Bengaluru,"Change management
Networking
Performance management
Machine learning
Agile
Management
Distribution system
Operations",,,Not disclosed,,14 DAYS AGO
Hiring Data Science/Machine Learning Trainer–Full Time-Ghaziabad,Synergistic Compusoft Private Limited,7-10 Yrs,"Noida, Ghaziabad, Delhi / NCR","Data Science
Trainer
Machine Learning
communication
science
Java
Tableau
NET",,,Not disclosed,HOT JOB,14 DAYS AGO
Machine Vision Research Engineer- Machine Learning/Computer Vision- I,HyrEzy Talent Solutions,3-8 Yrs,Noida,"Data structure
Computer Vision
Pattern Recognition
Machine Learning
Algorithms
IT Skills
Testing
Probabilistic modelling",,,Not disclosed,PREMIUM,14 DAYS AGO
Data Science / Machine Learning stream project intern,Vikatan,0-1 Yrs,Chennai,"Computer science
Printing
Power house
Publishing
data science
Machine learning
Manager Technology
digital transformation",4.6,(22 Reviews),Not disclosed,,30+ DAYS AGO
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Bangalore/Bengaluru,"Tensorflow
YOLO
Resnet
Kubernetes
Machine Learning
agile
NoSQL
R",,,Not disclosed,PREMIUM,30+ DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Mumbai,"Business process
Computer vision
Application deployment
data science
Networking
Consulting
Machine learning
Cloud",4.0,(18767 Reviews),Not disclosed,PREFERRED,12 DAYS AGO
Natural Language Processing (NLP) Application Developer,Accenture Solutions Pvt Ltd,8-10 Yrs,Bangalore/Bengaluru,"Python
NLP
Natural Language Processing
Machine Learning
IT Skills
Data Science
Cloud
Business process",4.0,(18767 Reviews),Not disclosed,PREFERRED,21 DAYS AGO
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,6-8 Yrs,Chennai,"IT Skills
Python
Data Science
Machine Learning
Computer science
Business process
Team management
Monitoring tools",4.0,(18767 Reviews),Not disclosed,PREFERRED,21 DAYS AGO
Machine Learning Application Designer,Accenture Solutions Pvt Ltd,8-10 Yrs,Chennai,"Python
Communication
Data science
analytical
analysis
Splunk
AIOps
Machine Learning",4.0,(18767 Reviews),Not disclosed,PREMIUM,21 DAYS AGO
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Bangalore/Bengaluru,"Tensorflow
YOLO
Resnet
Kubernetes
Machine Learning
agile
NoSQL
R",,,Not disclosed,PREMIUM,11 DAYS AGO
Machine Learning Scientist,Observe.AI,3-7 Yrs,Bangalore/Bengaluru,"Automatic Speech Recognition
Customer Service
Nlp
Algorithms
Shell Scripting
Natural Language Processing
Machine Learning
Deep Learning",,,Not disclosed,PREMIUM,22 DAYS AGO
Data Science,Capgemini Technology Services India Limited,4-6 Yrs,Mumbai,"PySpark
Mesos
communication
ML
AI
Spark
Machine Learning
NLP",3.7,(12765 Reviews),Not disclosed,PREFERRED,19 DAYS AGO
